Kind, Manufacturer, Pattern Name, Pattern Number, Item Number, Description
silver, W. M. Dalton, None, n/a, n/a, n/a
silver, W. M. Dalton, None, n/a, n/a, n/a
silver, W. M. Dalton, None, n/a, n/a, n/a
silver, W. M. Dalton, None, n/a, n/a, n/a
silver, W. M. Dalton, None, n/a, n/a, n/a
silver, W.W. Wilson, WWN1 (COIN), n/a, 293235,  COIN SILVER,PA,FIDDLE SHAPE,TIPPED,WINGS
silver, W.W. Wilson, WWN2 (STERLING), n/a, 294873,  STERLING, FERNS ON HANDLE
silver, W.W. Wilson, WWN3 (COIN), n/a, 405147,  COIN SILVER,PA,FIDDLE HANDLE,WINGS
silver, Walbusch, WLU1 (SILVERPLATE), n/a, 333724,  SILVERPLATE,100,SCROLLS AT TIP,OUTLINED
silver, Walbusch, WLU2 (SILVERPLATE), n/a, 406983,  SILVERPLATE, 90, SCROLLS
silver, Walcott (Wolcott)&Ge;, Sheaf Of Wheat (Coin), n/a, 382304,  COIN SILVER,MA,1820,FIDDLE HANDLE
silver, Walker & Hall Ltd, Misc Silverplate Hollowware, n/a, 301376,  SILVERPLATE HOLLOWWARE ONLY
silver, Walker & Hall Ltd, Pearl Handle Flatware 1, n/a, 287988,  STERLING BOLSTER, SILVERPLATE BLADE
silver, Walker & Hall Ltd, Pearl Handle Flatware 2, n/a, 415638,  SILVERPLATE,PEARL HANDLE
silver, Walker & Hall Ltd, Pride, n/a, 140889,  SILVERPLATE,        SHEFFIELD ENGLAND
silver, Walker & Hall Ltd, 1370 (Silverplate Holloware), 1370, 300485,  SILVERPLATE,HOLLOWARE ONLY,FLORAL
silver, Walker & Hall Ltd, 1378 (Silverplate,holloware), 1378, 383662,  SILVERPLATE,HOLLOWARE,RIBBED
silver, Walker & Hall Ltd, 17336 (Silverplate, Hollowware), 17336, 411299,  SILVERPLATE,HOLLOWWARE,FLOWERS&AMP;LEAVES
silver, Walker & Hall Ltd, 28586 (Silverplate, Hollowware), 28586, 255054,  SILVERPLATE,HOLLOWWARE,GADROON,SHELL
silver, Walker & Hall Ltd, 51454 (Silverplate,hollowware), 51454, 214072,  SILVERPLATE,HOLLOWWARE 
silver, Walker & Hall Ltd, WKL1 (Silverplate), n/a, 174427,  SILVERPLATE,DATE UNKNOWN
silver, Walker & Hall Ltd, WKL2, n/a, 177175,  SILVERPLATE,RIDGED HANDLE,SHEFFIELD
silver, Walker & Hall Ltd, WKL3 (Silverplate), n/a, 243203,  SILVERPLATE,SCALLOP TIP,OUTLINED
silver, Walker & Hall Ltd, WKL4 (Sterling,hollowware), n/a, 259499,  STERLING,HOLLOWWARE,GLOSSY
silver, Walker & Hall Ltd, WKL5 (Silverplate), n/a, 260622,  SILVERPLATE,TIPPED,ROUNDED,REINFORCEBACK
silver, Walker & Hall Ltd, WKL6 (Silverplate), n/a, 274323,  FRINGE ACCENT,DOT ON TIP
silver, Walker & Hall Ltd, WKL7 (Silverplate), n/a, 287177,  SILVERPLATE,KINGS DESIGN,GLOSSY
silver, Walker & Hall Ltd, WKL8 (Silverplate), n/a, 312845,  SILVERPLATE,ROUND TIP,MARINE HOTEL
silver, Walker & Hall Ltd, WKL9 (Silverplate), n/a, 319455,  SILVERPLATE, DOTS &AMP; OVALS
silver, Walker & Hall Ltd, WKL10 (Silverplate), n/a, 334000,  SILVERPLATE,ROUND,TIPPED,NON REINFORCED
silver, Walker & Hall Ltd, WKL18, n/a, 346424,  SILVERPLATE,CREAM COLOR CELLULOID HANDLE
silver, Walker & Hall Ltd, WKL19 (Sterling), n/a, 363291,  STERLING,PLAIN,TIPPED ON BACK,REINFORCED
silver, Walker & Hall Ltd, WKL20 (Silverplate), n/a, 369422,  SILVERPLATE,MOON,CRISS CROSS,BEADED EDGE
silver, Walker & Hall Ltd, WKL21 (Silverplate), n/a, 386256,  SILVERPLATE, FLAT TIP
silver, Walker & Hall Ltd, WKL22 (Silverplate), n/a, 392568,  SILVERPLATE,PLAIN,ROUND TIP
silver, Walker & Hall Ltd, WKL24 (Silverplate), n/a, 420042,  SILVERPLATE,PLAIN,FIDDLE SHAPE,WINGS
silver, Wallace Bros, Abbey (Slvplt, 1937), 1937, 110417,  SILVERPLATE, 1937
silver, Wallace Bros, Abbey Rose (Silverplate, 1981), 1981, 110418,  SILVERPLATE, 1981
silver, Wallace Bros, Abc (Sterling), n/a, 347553,  STERLING, LETTER BLOCKS, USA, BABY SET
silver, Wallace Bros, Accord (Stainless), n/a, 351914,  STAINLESS,18/10,GLOSSY,VERTICAL LINES
silver, Wallace Bros, Acropole (Sterling), n/a, 335677,  STERLING,GLOSSY,RIBBED,BANDS,ROUND TIP
silver, Wallace Bros, Adam (Silverplate), n/a, 253259,  SILVERPLATE, EPS, SWAGS, GARLAND
silver, Wallace Bros, Adams (Silverplate, 1906), 1906, 110419,  SILVERPLATE, 1906, WALLINGFORD CO
silver, Wallace Bros, Admiral (Stainless), n/a, 322858,  STAINLESS,18/10,GLOSSY,OUTLINED,FLAT TIP
silver, Wallace Bros, Advertising Signs, n/a, 344668,  ADVERTISING SIGNS
silver, Wallace Bros, Aegean Weave (Strlg,1970), W133, 110420,  STERLING, 1970
silver, Wallace Bros, Alamo (Slvplt, 1913), 1913, 110421,  SILVERPLATE, 1913
silver, Wallace Bros, Albany (Slvplt,1996), n/a, 110422,  SILVERPLATE,EPNS,A1,SHEFFIELD, ENGLAND
silver, Wallace Bros, Albany (Stainless), n/a, 224469,  STAINLESS,18/10,RIDGES&AMP;VERTICALS
silver, Wallace Bros, Alden (Silverplate, Hollowware), N6694, 206566,  SILVERPLATE, HOLLOWWARE ONLY
silver, Wallace Bros, Alden (Silverplate,Holloware), 5000, 110423,  (SILVERPLATE)       (HOLLOWWARE)
silver, Wallace Bros, Alicia (Silverplate, 1930), 1926, 110424,  SILVERPLATE, 1930
silver, Wallace Bros, Alpine (Silverplate, 1881), 1881, 110425,  SILVERPLATE, 1881   BIRD &AMP; FLOWERS
silver, Wallace Bros, Alta Vista (Stainless), W449, 238114,  STAINLESS, CROSSED BANDS
silver, Wallace Bros, Alton (Stainless), n/a, 294645,  STAINLESS,18/10,OUTLINE EDGE,FAN TIP
silver, Wallace Bros, Amberly (Silverplate, 1985), 1985, 110426,  SILVERPLATE, 1985
silver, Wallace Bros, America (Sterling, 1915, Monograms), 1915, 172161,  STERLING, 1915, MONOGRAMS
silver, Wallace Bros, America (Sterling, 1915, No Monograms), 1915, 110428,  STERLING, 1915, NO MONOGRAMS
silver, Wallace Bros, American Chippendale (Stainless), n/a, 321976,  STAINLESS,18/10,18/0,GLOSSY,OUTLINE
silver, Wallace Bros, American Tradition, W198, 206940,  STAINLESS,CHINA,GLOSSY
silver, Wallace Bros, American Tradition (Silverplate), n/a, 328874,  EPS, BEADED, SILVERPLATE
silver, Wallace Bros, American Trap Shooting (Silverplate), n/a, 260623,  SILVERPLATE,ROUND EMBLEM,POINTED TIP
silver, Wallace Bros, Amesbury, 9421, 290523,  SILVERPLATE, HOLLOWWARE, SCALLOPED
silver, Wallace Bros, Andover (Silverplate, 1913), 1913, 110430,  SILVERPLATE, 1913
silver, Wallace Bros, Anjou (Slvrplate, 1899), 1899, 110431,  SILVERPLATE, 1899
silver, Wallace Bros, Antique (Sterling, 1926, Monograms), 1926, 180368,  STERLING, 1926, MONOGRAMS
silver, Wallace Bros, Antique (Sterling, 1926, No Monograms), 1926, 110432,  STERLING, 1926, NO MONOGRAMS
silver, Wallace Bros, Antique (Sterling, Hollowware), 3364, 172251,  STERLING, HOLLOWWARE ONLY
silver, Wallace Bros, Antique (Strl,Hollow,Floral), 3370-51, 289941,  STERLING,HOLLOWWARE,FLORAL 
silver, Wallace Bros, Antique Baroque, n/a, 289969,  GOLD ELECTROPLATE,PIERCED,SCROLL&AMP;FLORAL
silver, Wallace Bros, Antique Baroque (Silverplate), n/a, 363703,  SILVERPLATE,PIERCED FLORAL&AMP;SCROLL
silver, Wallace Bros, Antique Baroque (Stainless), n/a, 220538,  STAINLESS,18/10,GLOSSY
silver, Wallace Bros, Antique Baroque (Stainless), n/a, 110429,  STAINLESS,18/8,ALL GLOSSY
silver, Wallace Bros, Apollo (Stainless,Ribbed Front & Back), n/a, 245432,  STAINLESS, 18/8,GLOSSY,RIBBED FRONT&AMP;BACK
silver, Wallace Bros, Apollo (Stainless,Ribbed Front Only), n/a, 291906,  STAINLESS,18/8,GLOSSY,RIBBED FRONT ONLY
silver, Wallace Bros, Arabesque (Stainless), n/a, 141988,  STAINLESS,18/8, GLOSSY
silver, Wallace Bros, Arabesque Gold (Stainless, Gold Accent), n/a, 141989,  STAINLESS,18/8, GLOSSY, GOLD ACCENT
silver, Wallace Bros, Arlington (Slvpt,1911), 1911, 110434,  SILVERPLATE,1911
silver, Wallace Bros, Arlington (Stainless), n/a, 347543,  STAINLESS,18/10,GLOSSY,OUTLINE,SCALLOPED
silver, Wallace Bros, Arlington (Stainless), n/a, 354839,  STAINLESS,18/0,GLOSSY,OUTLINE,SCALLOPED
silver, Wallace Bros, Array (Stainless), n/a, 308184,  STAINLESS,18/10,SATIN,PLAIN,ROUND TIP
silver, Wallace Bros, Ashcroft (Stainless, 18/10, China), W358, 220325,  STNLS,18/10,CHINA,GLOSSY,LARGE SIZE PCS
silver, Wallace Bros, Ashcroft (Stainless,18/8,Korea/Japan), n/a, 110435,  STNLS,18/8,JAP,KOR,GLOSSY,STANDARD SIZE
